Time,Open,High,Low,Close,Volume 
2008.01.01 00:00:00,1.4585,1.4608,1.4576,1.4591,1
2008.01.02 00:00:00,1.4591,1.475,1.4587,1.4724,1
2008.01.03 00:00:00,1.4724,1.4781,1.4685,1.4747,1
2008.01.04 00:00:00,1.4747,1.4824,1.4693,1.4745,1
2008.01.07 00:00:00,1.4745,1.4756,1.4657,1.469,1
2008.01.08 00:00:00,1.469,1.4744,1.4678,1.4704,1
2008.01.09 00:00:00,1.4704,1.4743,1.4638,1.4656,1
2008.01.10 00:00:00,1.4656,1.4814,1.4638,1.4807,1
2008.01.11 00:00:00,1.4807,1.4819,1.476,1.4781,1
2008.01.14 00:00:00,1.4781,1.4914,1.4778,1.4866,1
2008.01.15 00:00:00,1.4866,1.4922,1.4799,1.48,1
2008.01.16 00:00:00,1.48,1.4858,1.4593,1.465,1
2008.01.17 00:00:00,1.465,1.4714,1.4587,1.4645,1
2008.01.18 00:00:00,1.4645,1.4695,1.4602,1.4604,1
2008.01.21 00:00:00,1.4604,1.4605,1.4421,1.4445,1
2008.01.22 00:00:00,1.4445,1.4643,1.4364,1.4627,1
2008.01.23 00:00:00,1.4627,1.4684,1.451,1.4628,1
2008.01.24 00:00:00,1.4628,1.4779,1.4589,1.4757,1
2008.01.25 00:00:00,1.4757,1.4776,1.4659,1.468,1
2008.01.28 00:00:00,1.468,1.4798,1.4659,1.4782,1
2008.01.29 00:00:00,1.4782,1.4796,1.4735,1.4776,1
2008.01.30 00:00:00,1.4776,1.4906,1.4754,1.4861,1
2008.01.31 00:00:00,1.4861,1.4914,1.48,1.4857,1
2008.02.01 00:00:00,1.4858,1.4952,1.4785,1.4805,1
2008.02.04 00:00:00,1.4805,1.4849,1.4792,1.483,1
2008.02.05 00:00:00,1.483,1.4834,1.462,1.4644,1
2008.02.06 00:00:00,1.4644,1.4671,1.459,1.4634,1
2008.02.07 00:00:00,1.4634,1.4653,1.4438,1.448,1
2008.02.08 00:00:00,1.448,1.4547,1.4448,1.4516,1
2008.02.11 00:00:00,1.4516,1.4577,1.448,1.4518,1
2008.02.12 00:00:00,1.4518,1.4614,1.4494,1.4578,1
2008.02.13 00:00:00,1.4578,1.4599,1.453,1.4569,1
2008.02.14 00:00:00,1.4569,1.4647,1.4547,1.4636,1
2008.02.15 00:00:00,1.4636,1.4709,1.463,1.4677,1
2008.02.18 00:00:00,1.4677,1.469,1.4609,1.4653,1
2008.02.19 00:00:00,1.4653,1.4757,1.464,1.4726,1
2008.02.20 00:00:00,1.4726,1.4731,1.4613,1.4711,1
2008.02.21 00:00:00,1.4711,1.4837,1.4702,1.481,1
2008.02.22 00:00:00,1.481,1.4862,1.4787,1.4837,1
2008.02.25 00:00:00,1.4837,1.4844,1.4793,1.4827,1
2008.02.26 00:00:00,1.4827,1.4982,1.4777,1.4978,1
2008.02.27 00:00:00,1.4978,1.5143,1.497,1.5122,1
2008.02.28 00:00:00,1.5122,1.5229,1.5072,1.5203,1
2008.02.29 00:00:00,1.5203,1.5238,1.5142,1.519,1
2008.03.03 00:00:00,1.5194,1.5275,1.5156,1.5204,1
2008.03.04 00:00:00,1.5204,1.5248,1.5172,1.5214,1
2008.03.05 00:00:00,1.5214,1.5302,1.5145,1.5263,1
2008.03.06 00:00:00,1.5263,1.5394,1.526,1.5386,1
2008.03.07 00:00:00,1.5386,1.5459,1.5312,1.5362,1
2008.03.10 00:00:00,1.5362,1.5403,1.5312,1.5344,1
2008.03.11 00:00:00,1.5344,1.5495,1.5281,1.5336,1
2008.03.12 00:00:00,1.5336,1.557,1.5333,1.5565,1
2008.03.13 00:00:00,1.5565,1.5644,1.5521,1.5625,1
2008.03.14 00:00:00,1.5625,1.5688,1.553,1.5723,1
2008.03.17 00:00:00,1.5723,1.5904,1.5683,1.5729,1
2008.03.18 00:00:00,1.5729,1.5832,1.5616,1.5621,1
2008.03.19 00:00:00,1.5621,1.5785,1.5581,1.5639,1
2008.03.20 00:00:00,1.5639,1.565,1.5395,1.5431,1
2008.03.21 00:00:00,1.5431,1.5472,1.5404,1.542,1
2008.03.24 00:00:00,1.542,1.5456,1.534,1.5432,1
2008.03.25 00:00:00,1.5432,1.5657,1.5406,1.5628,1
2008.03.26 00:00:00,1.5628,1.5858,1.5582,1.584,1
2008.03.27 00:00:00,1.584,1.5846,1.5724,1.5777,1
2008.03.28 00:00:00,1.5777,1.5839,1.5739,1.581,1
2008.03.31 00:00:00,1.581,1.5895,1.5758,1.58265,1
2008.04.01 00:00:00,1.5763,1.5787,1.5559,1.5616,1
2008.04.02 00:00:00,1.5616,1.5701,1.5532,1.5688,1
2008.04.03 00:00:00,1.5688,1.5693,1.5509,1.5682,1
2008.04.04 00:00:00,1.5682,1.5774,1.5636,1.573,1
2008.04.07 00:00:00,1.573,1.5735,1.5625,1.5709,1
2008.04.08 00:00:00,1.5709,1.5798,1.5673,1.57,1
2008.04.09 00:00:00,1.57,1.5864,1.5682,1.5829,1
2008.04.10 00:00:00,1.5829,1.5912,1.5723,1.5741,1
2008.04.11 00:00:00,1.5741,1.5855,1.5737,1.5696,1
2008.04.14 00:00:00,1.5696,1.5885,1.5669,1.584,1
2008.04.15 00:00:00,1.584,1.5875,1.575,1.579,1
2008.04.16 00:00:00,1.579,1.5977,1.5757,1.5939,1
2008.04.17 00:00:00,1.5939,1.5983,1.5845,1.5893,1
2008.04.18 00:00:00,1.5893,1.5957,1.571,1.5811,1
2008.04.21 00:00:00,1.5811,1.5947,1.579,1.5911,1
2008.04.22 00:00:00,1.5911,1.6018,1.5833,1.5999,1
2008.04.23 00:00:00,1.5999,1.5999,1.5858,1.5881,1
2008.04.24 00:00:00,1.5881,1.589,1.5636,1.5678,1
2008.04.25 00:00:00,1.5678,1.5707,1.5553,1.5616,1
2008.04.28 00:00:00,1.5616,1.5692,1.5592,1.5649,1
2008.04.29 00:00:00,1.5649,1.5659,1.5539,1.5567,1
2008.04.30 00:00:00,1.5567,1.5642,1.5516,1.5579,1
2008.05.01 00:00:00,1.5613,1.5643,1.5428,1.5466,1
2008.05.02 00:00:00,1.5466,1.55,1.5359,1.5432,1
2008.05.05 00:00:00,1.5432,1.5518,1.5421,1.5497,1
2008.05.06 00:00:00,1.5497,1.5593,1.545,1.553,1
2008.05.07 00:00:00,1.553,1.5538,1.5364,1.5393,1
2008.05.08 00:00:00,1.5393,1.544,1.5284,1.5402,1
2008.05.09 00:00:00,1.5402,1.5489,1.5392,1.5461,1
2008.05.12 00:00:00,1.5461,1.557,1.5364,1.5539,1
2008.05.13 00:00:00,1.5539,1.5565,1.5429,1.547,1
2008.05.14 00:00:00,1.547,1.5486,1.5394,1.5481,1
2008.05.15 00:00:00,1.5481,1.5547,1.5418,1.5596,1
2008.05.19 00:00:00,1.5596,1.5632,1.5484,1.5518,1
2008.05.20 00:00:00,1.5518,1.5679,1.5502,1.565,1
2008.05.21 00:00:00,1.565,1.5795,1.5631,1.5793,1
2008.05.22 00:00:00,1.5793,1.5814,1.569,1.5724,1
2008.05.23 00:00:00,1.5724,1.5794,1.5695,1.577,1
2008.05.26 00:00:00,1.577,1.5792,1.574,1.5773,1
2008.05.27 00:00:00,1.5773,1.5818,1.568,1.5676,1
2008.05.28 00:00:00,1.5676,1.576,1.5606,1.5645,1
2008.05.29 00:00:00,1.5645,1.5663,1.5484,1.5515,1
2008.05.30 00:00:00,1.5515,1.5569,1.546,1.55145,1
2008.06.02 00:00:00,1.5558,1.5589,1.5485,1.5536,1
2008.06.03 00:00:00,1.5536,1.5628,1.5408,1.5433,1
2008.06.04 00:00:00,1.5433,1.5482,1.5417,1.5421,1
2008.06.05 00:00:00,1.5421,1.5601,1.5364,1.5793,1
2008.06.09 00:00:00,1.5793,1.5845,1.5616,1.5641,1
2008.06.10 00:00:00,1.5641,1.5653,1.5438,1.5451,1
2008.06.11 00:00:00,1.5451,1.5586,1.5451,1.5556,1
2008.06.12 00:00:00,1.5556,1.5565,1.5378,1.5449,1
2008.06.13 00:00:00,1.5449,1.5483,1.5301,1.5409,1
2008.06.16 00:00:00,1.5409,1.5517,1.5344,1.5465,1
2008.06.17 00:00:00,1.5465,1.5551,1.5459,1.5505,1
2008.06.18 00:00:00,1.5505,1.5538,1.5459,1.553,1
2008.06.19 00:00:00,1.553,1.5586,1.5465,1.5504,1
2008.06.20 00:00:00,1.5504,1.5651,1.549,1.5629,1
2008.06.23 00:00:00,1.5629,1.563,1.5467,1.5517,1
2008.06.24 00:00:00,1.5517,1.5621,1.549,1.5565,1
2008.06.25 00:00:00,1.5565,1.5686,1.5535,1.5667,1
2008.06.26 00:00:00,1.5667,1.5766,1.5625,1.5752,1
2008.06.27 00:00:00,1.5752,1.5794,1.5716,1.5775,1
2008.08.05 00:00:00,1.5572,1.5575,1.5445,1.5452,1
2008.08.06 00:00:00,1.5452,1.5516,1.5397,1.532,1
2008.08.08 00:00:00,1.532,1.5334,1.4996,1.4933,1
2008.08.11 00:00:00,1.4933,1.5083,1.4878,1.4897,1
2008.08.12 00:00:00,1.4897,1.4964,1.4812,1.4921,1
2008.08.14 00:00:00,1.4921,1.4949,1.4776,1.4801,1
2008.08.15 00:00:00,1.4801,1.4807,1.4657,1.4681,1
2008.08.18 00:00:00,1.4681,1.4767,1.4671,1.4681,1
2008.08.19 00:00:00,1.4681,1.4794,1.4628,1.4784,1
2008.08.20 00:00:00,1.4784,1.4805,1.4671,1.4741,1
2008.08.21 00:00:00,1.4741,1.4907,1.473,1.4893,1
2008.08.22 00:00:00,1.4893,1.49,1.4756,1.4786,1
2008.08.25 00:00:00,1.4786,1.4807,1.4695,1.475,1
2008.08.26 00:00:00,1.475,1.476,1.4567,1.4645,1
2008.08.27 00:00:00,1.4645,1.4775,1.4631,1.4712,1
2008.08.28 00:00:00,1.4712,1.4811,1.467,1.4702,1
2008.08.29 00:00:00,1.4702,1.4768,1.4639,1.47035,1
2008.09.01 00:00:00,1.47,1.4717,1.458,1.4605,1
2008.09.02 00:00:00,1.4605,1.4605,1.4464,1.4515,1
2008.09.03 00:00:00,1.4515,1.453,1.4384,1.4491,1
2008.09.04 00:00:00,1.4491,1.4544,1.4215,1.4232,1
2008.09.05 00:00:00,1.4232,1.4347,1.4195,1.4383,1
2008.09.08 00:00:00,1.4383,1.4428,1.4053,1.4124,1
2008.09.09 00:00:00,1.4124,1.4225,1.4045,1.411,1
2008.09.10 00:00:00,1.411,1.4178,1.3971,1.3974,1
2008.09.11 00:00:00,1.3974,1.4035,1.3879,1.4017,1
2008.09.12 00:00:00,1.4017,1.4231,1.397,1.4313,1
2008.09.15 00:00:00,1.4313,1.4479,1.4084,1.4261,1
2008.09.16 00:00:00,1.4261,1.4283,1.4077,1.411,1
2008.09.17 00:00:00,1.411,1.4383,1.409,1.4317,1
2008.09.18 00:00:00,1.4317,1.4541,1.4278,1.4325,1
2008.09.19 00:00:00,1.4325,1.4498,1.4149,1.449,1
2008.09.22 00:00:00,1.449,1.4865,1.4436,1.4793,1
2008.09.23 00:00:00,1.4793,1.4825,1.4621,1.4644,1
2008.09.24 00:00:00,1.4644,1.4746,1.4609,1.4609,1
2008.09.25 00:00:00,1.4609,1.4768,1.4559,1.4615,1
2008.09.26 00:00:00,1.4615,1.4677,1.4553,1.452,1
2008.09.29 00:00:00,1.452,1.4564,1.4298,1.4416,1
2008.09.30 00:00:00,1.4416,1.4425,1.4008,1.42165,1
2008.10.01 00:00:00,1.4122,1.4174,1.3974,1.4024,1
2008.10.02 00:00:00,1.4024,1.4025,1.3743,1.3816,1
2008.10.03 00:00:00,1.3816,1.3905,1.3702,1.3663,1
2008.10.06 00:00:00,1.3663,1.3674,1.3441,1.3484,1
2008.10.07 00:00:00,1.3484,1.3739,1.3479,1.3628,1
2008.10.08 00:00:00,1.3628,1.3756,1.3542,1.363,1
2008.10.09 00:00:00,1.363,1.3784,1.3579,1.3587,1
2008.10.10 00:00:00,1.3587,1.365,1.3257,1.3557,1
2008.10.13 00:00:00,1.3557,1.3681,1.3456,1.3592,1
2008.10.14 00:00:00,1.3592,1.3769,1.3584,1.362,1
2008.10.15 00:00:00,1.362,1.3685,1.3453,1.3465,1
2008.10.16 00:00:00,1.3465,1.3537,1.3344,1.3481,1
2008.10.17 00:00:00,1.3481,1.3516,1.3385,1.3401,1
